,path1,path2,lch,tree1,tree2,matriz,path_sim,LCh,wup,normalizada,levenstein,w1,w2
0,"{Synset('car.n.01'): 0, Synset('motor_vehicle.n.01'): 1, Synset('self-propelled_vehicle.n.01'): 2, Synset('wheeled_vehicle.n.01'): 3, Synset('container.n.01'): 4, Synset('vehicle.n.01'): 4, Synset('instrumentality.n.03'): 5, Synset('conveyance.n.03'): 5, Synset('artifact.n.01'): 6, Synset('whole.n.02'): 7, Synset('object.n.01'): 8, Synset('physical_entity.n.01'): 9, Synset('entity.n.01'): 10, Synset('*ROOT*'): 11}","{Synset('car.n.01'): 0, Synset('motor_vehicle.n.01'): 1, Synset('self-propelled_vehicle.n.01'): 2, Synset('wheeled_vehicle.n.01'): 3, Synset('container.n.01'): 4, Synset('vehicle.n.01'): 4, Synset('instrumentality.n.03'): 5, Synset('conveyance.n.03'): 5, Synset('artifact.n.01'): 6, Synset('whole.n.02'): 7, Synset('object.n.01'): 8, Synset('physical_entity.n.01'): 9, Synset('entity.n.01'): 10, Synset('*ROOT*'): 11}",Synset('car.n.01'),[Synset('car.n.01')],[Synset('car.n.01')],"{0: {0: 0, 1: 1}, 1: {0: 1, 1: 0}}",1,3.63758616,1,1,0,car,automobile
1,"{Synset('jewel.n.02'): 0, Synset('person.n.01'): 1, Synset('causal_agent.n.01'): 2, Synset('organism.n.01'): 2, Synset('physical_entity.n.01'): 3, Synset('living_thing.n.01'): 3, Synset('entity.n.01'): 4, Synset('whole.n.02'): 4, Synset('object.n.01'): 5, Synset('*ROOT*'): 6}","{Synset('jewel.n.02'): 0, Synset('person.n.01'): 1, Synset('causal_agent.n.01'): 2, Synset('organism.n.01'): 2, Synset('physical_entity.n.01'): 3, Synset('living_thing.n.01'): 3, Synset('entity.n.01'): 4, Synset('whole.n.02'): 4, Synset('object.n.01'): 5, Synset('*ROOT*'): 6}",Synset('jewel.n.02'),[Synset('jewel.n.02')],[Synset('jewel.n.02')],"{0: {0: 0, 1: 1}, 1: {0: 1, 1: 0}}",1,3.63758616,0.75,1,0,gem,jewel
2,"{Synset('journey.n.01'): 0, Synset('travel.n.01'): 1, Synset('motion.n.06'): 2, Synset('change.n.03'): 3, Synset('action.n.01'): 4, Synset('act.n.02'): 5, Synset('event.n.01'): 6, Synset('psychological_feature.n.01'): 7, Synset('abstraction.n.06'): 8, Synset('entity.n.01'): 9, Synset('*ROOT*'): 10}","{Synset('voyage.n.02'): 0, Synset('journey.n.01'): 1, Synset('travel.n.01'): 2, Synset('motion.n.06'): 3, Synset('change.n.03'): 4, Synset('action.n.01'): 5, Synset('act.n.02'): 6, Synset('event.n.01'): 7, Synset('psychological_feature.n.01'): 8, Synset('abstraction.n.06'): 9, Synset('entity.n.01'): 10, Synset('*ROOT*'): 11}",Synset('journey.n.01'),[Synset('journey.n.01')],"[Synset('voyage.n.02'), Synset('journey.n.01')]","{0: {0: 0, 1: 1, 2: 2}, 1: {0: 1, 1: 1, 2: 1}}",0.5,2.944438979,0.952380952,0.916666667,1,journey,voyage
3,"{Synset('male_child.n.01'): 0, Synset('male.n.02'): 1, Synset('person.n.01'): 2, Synset('causal_agent.n.01'): 3, Synset('organism.n.01'): 3, Synset('physical_entity.n.01'): 4, Synset('living_thing.n.01'): 4, Synset('entity.n.01'): 5, Synset('whole.n.02'): 5, Synset('object.n.01'): 6, Synset('*ROOT*'): 7}","{Synset('cub.n.02'): 0, Synset('male_child.n.01'): 1, Synset('male.n.02'): 2, Synset('person.n.01'): 3, Synset('causal_agent.n.01'): 4, Synset('organism.n.01'): 4, Synset('physical_entity.n.01'): 5, Synset('living_thing.n.01'): 5, Synset('entity.n.01'): 6, Synset('whole.n.02'): 6, Synset('object.n.01'): 7, Synset('*ROOT*'): 8}",Synset('male_child.n.01'),[Synset('male_child.n.01')],"[Synset('cub.n.02'), Synset('male_child.n.01')]","{0: {0: 0, 1: 1, 2: 2}, 1: {0: 1, 1: 1, 2: 1}}",0.5,2.944438979,0.947368421,0.916666667,1,boy,lad
4,"{Synset('seashore.n.01'): 0, Synset('shore.n.01'): 1, Synset('geological_formation.n.01'): 2, Synset('object.n.01'): 3, Synset('physical_entity.n.01'): 4, Synset('entity.n.01'): 5, Synset('*ROOT*'): 6}","{Synset('shore.n.01'): 0, Synset('geological_formation.n.01'): 1, Synset('object.n.01'): 2, Synset('physical_entity.n.01'): 3, Synset('entity.n.01'): 4, Synset('*ROOT*'): 5}",Synset('shore.n.01'),"[Synset('seashore.n.01'), Synset('shore.n.01')]",[Synset('shore.n.01')],"{0: {0: 0, 1: 1}, 1: {0: 1, 1: 1}, 2: {0: 2, 1: 1}}",0.5,2.944438979,0.909090909,0.857142857,1,coast,shore
5,"{Synset('mental_hospital.n.01'): 0, Synset('hospital.n.01'): 1, Synset('medical_building.n.01'): 2, Synset('building.n.01'): 3, Synset('structure.n.01'): 4, Synset('artifact.n.01'): 5, Synset('whole.n.02'): 6, Synset('object.n.01'): 7, Synset('physical_entity.n.01'): 8, Synset('entity.n.01'): 9, Synset('*ROOT*'): 10}","{Synset('bedlam.n.02'): 0, Synset('mental_hospital.n.01'): 1, Synset('hospital.n.01'): 2, Synset('medical_building.n.01'): 3, Synset('building.n.01'): 4, Synset('structure.n.01'): 5, Synset('artifact.n.01'): 6, Synset('whole.n.02'): 7, Synset('object.n.01'): 8, Synset('physical_entity.n.01'): 9, Synset('entity.n.01'): 10, Synset('*ROOT*'): 11}",Synset('mental_hospital.n.01'),[Synset('mental_hospital.n.01')],"[Synset('bedlam.n.02'), Synset('mental_hospital.n.01')]","{0: {0: 0, 1: 1, 2: 2}, 1: {0: 1, 1: 1, 2: 1}}",0.5,2.944438979,0.952380952,0.916666667,1,asylum,madhouse
6,"{Synset('sorcerer.n.01'): 0, Synset('occultist.n.01'): 1, Synset('person.n.01'): 2, Synset('causal_agent.n.01'): 3, Synset('organism.n.01'): 3, Synset('physical_entity.n.01'): 4, Synset('living_thing.n.01'): 4, Synset('entity.n.01'): 5, Synset('whole.n.02'): 5, Synset('object.n.01'): 6, Synset('*ROOT*'): 7}","{Synset('sorcerer.n.01'): 0, Synset('occultist.n.01'): 1, Synset('person.n.01'): 2, Synset('causal_agent.n.01'): 3, Synset('organism.n.01'): 3, Synset('physical_entity.n.01'): 4, Synset('living_thing.n.01'): 4, Synset('entity.n.01'): 5, Synset('whole.n.02'): 5, Synset('object.n.01'): 6, Synset('*ROOT*'): 7}",Synset('sorcerer.n.01'),[Synset('sorcerer.n.01')],[Synset('sorcerer.n.01')],"{0: {0: 0, 1: 1}, 1: {0: 1, 1: 0}}",1,3.63758616,1,1,0,magician,wizard
7,"{Synset('noon.n.01'): 0, Synset('hour.n.02'): 1, Synset('clock_time.n.01'): 2, Synset('reading.n.03'): 3, Synset('datum.n.01'): 4, Synset('information.n.02'): 5, Synset('cognition.n.01'): 6, Synset('psychological_feature.n.01'): 7, Synset('abstraction.n.06'): 8, Synset('entity.n.01'): 9, Synset('*ROOT*'): 10}","{Synset('noon.n.01'): 0, Synset('hour.n.02'): 1, Synset('clock_time.n.01'): 2, Synset('reading.n.03'): 3, Synset('datum.n.01'): 4, Synset('information.n.02'): 5, Synset('cognition.n.01'): 6, Synset('psychological_feature.n.01'): 7, Synset('abstraction.n.06'): 8, Synset('entity.n.01'): 9, Synset('*ROOT*'): 10}",Synset('noon.n.01'),[Synset('noon.n.01')],[Synset('noon.n.01')],"{0: {0: 0, 1: 1}, 1: {0: 1, 1: 0}}",1,3.63758616,1,1,0,midday,noon
8,"{Synset('furnace.n.01'): 0, Synset('chamber.n.01'): 1, Synset('enclosure.n.01'): 2, Synset('area.n.05'): 3, Synset('structure.n.01'): 4, Synset('artifact.n.01'): 5, Synset('whole.n.02'): 6, Synset('object.n.01'): 7, Synset('physical_entity.n.01'): 8, Synset('entity.n.01'): 9, Synset('*ROOT*'): 10}","{Synset('stove.n.01'): 0, Synset('kitchen_appliance.n.01'): 1, Synset('home_appliance.n.01'): 2, Synset('appliance.n.02'): 3, Synset('durables.n.01'): 4, Synset('consumer_goods.n.01'): 5, Synset('commodity.n.01'): 6, Synset('artifact.n.01'): 7, Synset('whole.n.02'): 8, Synset('object.n.01'): 9, Synset('physical_entity.n.01'): 10, Synset('entity.n.01'): 11, Synset('*ROOT*'): 12}",Synset('artifact.n.01'),"[Synset('furnace.n.01'), Synset('chamber.n.01'), Synset('enclosure.n.01'), Synset('area.n.05'), Synset('structure.n.01'), Synset('artifact.n.01')]","[Synset('stove.n.01'), Synset('kitchen_appliance.n.01'), Synset('home_appliance.n.01'), Synset('appliance.n.02'), Synset('durables.n.01'), Synset('consumer_goods.n.01'), Synset('commodity.n.01'), Synset('artifact.n.01')]","{0: {0: 0, 1: 1, 2: 2, 3: 3, 4: 4, 5: 5, 6: 6, 7: 7, 8: 8}, 1: {0: 1, 1: 1, 2: 2, 3: 3, 4: 4, 5: 5, 6: 6, 7: 7, 8: 8}, 2: {0: 2, 1: 2, 2: 2, 3: 3, 4: 4, 5: 5, 6: 6, 7: 7, 8: 8}, 3: {0: 3, 1: 3, 2: 3, 3: 3, 4: 4, 5: 5, 6: 6, 7: 7, 8: 8}, 4: {0: 4, 1: 4, 2: 4, 3: 4, 4: 4, 5: 5, 6: 6, 7: 7, 8: 8}, 5: {0: 5, 1: 5, 2: 5, 3: 5, 4: 5, 5: 5, 6: 6, 7: 7, 8: 8}, 6: {0: 6, 1: 6, 2: 6, 3: 6, 4: 6, 5: 6, 6: 6, 7: 7, 8: 7}}",0.076923077,1.072636802,0.454545455,0.461538462,7,furnace,stove
9,"{Synset('food.n.01'): 0, Synset('substance.n.07'): 1, Synset('matter.n.03'): 2, Synset('physical_entity.n.01'): 3, Synset('entity.n.01'): 4, Synset('*ROOT*'): 5}","{Synset('fruit.n.01'): 0, Synset('reproductive_structure.n.01'): 1, Synset('plant_organ.n.01'): 2, Synset('plant_part.n.01'): 3, Synset('natural_object.n.01'): 4, Synset('whole.n.02'): 5, Synset('object.n.01'): 6, Synset('physical_entity.n.01'): 7, Synset('entity.n.01'): 8, Synset('*ROOT*'): 9}",Synset('physical_entity.n.01'),"[Synset('food.n.01'), Synset('substance.n.07'), Synset('matter.n.03'), Synset('physical_entity.n.01')]","[Synset('fruit.n.01'), Synset('reproductive_structure.n.01'), Synset('plant_organ.n.01'), Synset('plant_part.n.01'), Synset('natural_object.n.01'), Synset('whole.n.02'), Synset('object.n.01'), Synset('physical_entity.n.01')]","{0: {0: 0, 1: 1, 2: 2, 3: 3, 4: 4, 5: 5, 6: 6, 7: 7, 8: 8}, 1: {0: 1, 1: 1, 2: 2, 3: 3, 4: 4, 5: 5, 6: 6, 7: 7, 8: 8}, 2: {0: 2, 1: 2, 2: 2, 3: 3, 4: 4, 5: 5, 6: 6, 7: 7, 8: 8}, 3: {0: 3, 1: 3, 2: 3, 3: 3, 4: 4, 5: 5, 6: 6, 7: 7, 8: 8}, 4: {0: 4, 1: 4, 2: 4, 3: 4, 4: 4, 5: 5, 6: 6, 7: 7, 8: 7}}",0.090909091,1.239690887,0.285714286,0.3,7,food,fruit
