,w1,w2,Wu-Palmer,GED-Norm,GED
1,man,woman,0.667,0.917,1
2,father,mother,0.923,0.933,1
3,boy,girl,0.632,0.692,4
4,uncle,aunt,0.600,0.833,2
5,husband,wife,0.600,0.938,1
6,actor,actress,0.952,0.923,1
7,prince,princess,0.900,0.917,1
8,waiter,waitress,0.957,0.929,1
9,rooster,hen,0.929,0.933,1
10,stallion,mare,0.909,0.895,2
11,bachelor,spinster,0.571,0.786,3
12,bridegroom,bride,0.909,0.929,1
13,brother,sister,0.909,0.923,1
14,count,countess,0.750,0.786,3
15,czar,czarina,0.571,0.688,5
16,dad,mum,0.857,0.875,2
17,daddy,mummy,0.857,0.875,2
18,duke,duchess,0.750,0.786,3
19,emperor,empress,0.815,0.941,1
20,god,goddess,0.941,0.900,1
21,grandfather,grandmother,0.917,0.929,1
22,heir,heiress,0.952,0.923,1
23,hero,heroine,0.923,0.941,1
24,host,hostess,0.947,0.917,1
25,king,queen,1.000,1.000,0
26,master,mistress,0.900,0.917,1
27,murderer,murderess,0.880,0.938,1
28,nephew,niece,0.600,0.833,2
29,policeman,policewoman,0.957,0.929,1
30,sir,madam,0.600,0.846,2
31,son,daughter,0.833,0.867,2
32,wizard,witch,0.667,0.909,1
33,buck,doe,0.917,0.923,1
34,ram,ewe,0.706,0.818,2
35,boar,sow,0.933,0.938,1
36,bull,cow,0.944,0.947,1
37,gander,goose,0.966,0.938,1
38,fox,vixen,0.966,0.938,1
39,tiger,tigress,0.968,0.941,1
40,lion,lioness,0.968,0.941,1
41,barman,barmaid,0.952,0.923,1
42,boy_scout,girl_scout,0.909,0.933,1
43,chairman,chairwoman,1.000,1.000,0
44,gentleman,lady,0.600,0.846,2
45,headmaster,headmistress,0.917,0.929,1
46,landlord,landlady,0.957,0.929,1
47,lord,lady,0.632,0.692,4
48,monk,nun,0.600,0.917,1
49,steward,stewardess,0.957,0.929,1
50,widower,widow,0.600,0.846,2
