w1,w2
man,woman
father,mother
boy,girl
uncle,aunt
husband,wife
actor,actress
prince,princess
waiter,waitress
rooster,hen
stallion,mare
bachelor,spinster
bridegroom,bride
brother,sister
count,countess
czar,czarina
dad,mum
daddy,mummy
duke,duchess
emperor,empress
god,goddess
grandfather,grandmother
heir,heiress
hero,heroine
host,hostess
king,queen
master,mistress
murderer,murderess
nephew,niece
policeman,policewoman
sir,madam
son,daughter
wizard,witch
buck,doe
ram,ewe
boar,sow
bull,cow
gander,goose
fox,vixen
tiger,tigress
lion,lioness
barman,barmaid
boy_scout,girl_scout
chairman,chairwoman
gentleman,lady
headmaster,headmistress
landlord,landlady
lord,lady
monk,nun
steward,stewardess
widower,widow
