w1,w2
cord,smile
rooster,voyage
noon,string
fruit,furnace
autograph,shore
automobile,wizard
mound,stove
grin,implement
asylum,fruit
asylum,monk
graveyard,madhouse
glass,magician
boy,rooster
cushion,jewel
monk,slave
asylum,cemetery
coast,forest
grin,lad
shore,woodland
monk,oracle
boy,sage
automobile,cushion
mound,shore
lad,wizard
forest,graveyard
food,rooster
cemetery,woodland
shore,voyage
bird,woodland
coast,hill
furnace,implement
crane,rooster
hill,woodland
car,journey
cemetery,mound
glass,jewel
magician,oracle
crane,implement
brother,lad
sage,wizard
oracle,sage
bird,crane
bird,cock
food,fruit
brother,monk
asylum,madhouse
furnace,stove
magician,wizard
hill,mound
cord,string
glass,tumbler
grin,smile
serf,slave
journey,voyage
autograph,signature
coast,shore
forest,woodland
implement,tool
cock,rooster
boy,lad
cushion,pillow
cemetery,graveyard
automobile,car
midday,noon
gem,jewel
